NAME,SUBSCRIPTION,LOCATION,
"cloud-shell-storage-eastus","MOC HOL 200240","East US"
"Cloudlabs-ACI-1561674-WIN1-cs36f820","MOC HOL 200240","East US"
"NetworkWatcherRG","MOC HOL 200240","East US"
"RG-DEFENDER","MOC HOL 200240","East US"
"rg-playbooks","MOC HOL 200240","East US"
"WIN-1","MOC HOL 200240","East US"
